species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,3.113,1.079,ventral,0.206,-79.048,minute,0.001630779
Mbar,Mbar1,Mbar1_R3,R3,MCZ132342,247.86,35.00487,3.023,2.733,ventral,0.206,-93.046,minute,0.000831114
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,1.981,3.067,ventral,0.206,-98.163,minute,0.001402887
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,3.688,0.538,ventral,0.205,-92.793,minute,0.003653538
Lgla,Lgla3,Lgla3_R2,R2,MCZ89460,42.28,16.116873,5.237,4.753,ventral,0.205,-109.22,serial,0.004848628
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,5.833,2.915,,0.205,NA,minute,0.000908406
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.477,5.033,ventral,0.204,-101.31,minute,0.003635716
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,2.49,3.9,ventral,0.204,-127.999,minute,0.001778243
Ncap,Ncap2,Ncap2_R2,R2,MCZ132798,118.27,36.737701,2.437,1.898,ventral,0.203,-108.831,minute,0.001716412
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,4.646,2.221,,0.202,NA,minute,0.000923851
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,1.47,2.542,ventral,0.202,-93.094,serial,0.002110983
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.882,5.028,ventral,0.201,-95.711,minute,0.003582249
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,2.847,2.236,ventral,0.201,-115.278,minute,0.001479029
Mbar,Mbar2,Mbar2_R3,R3,MCZ163113,218.65,36.56124,1.832,0.239,ventral,0.201,-65.852,minute,0.000919277
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,3.096,3.688,ventral,0.198,-46.042,minute,0.001725941
Pmic,Pmic2,Pmic2_R1,R1,MCZ58801,66.5,26.188785,2.454,3.645,ventral,0.198,-80.652,serial,0.002977444
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,1.123,1.224,,0.196,NA,minute,0.000868525
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,4.457,1.356,ventral,0.195,-90,minute,0.004070981
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.094,5.031,ventral,0.195,-97.496,minute,0.003475316
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,2.794,2.384,ventral,0.195,-85.3,minute,0.001543699
